handle,datasetid,acc.mean.mod,acc.mean.old,acc.shape.mod,acc.shape.old,mem.strength,mem.mean,hiatus,thick,age.type,run,suitable,ndates,success,notes
OTTOMLK,1840,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
PGONIABG,3541,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
POGONIA,3558,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
THIRDLK,3784,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
THRDBGN,3786,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
THRDBGW,3788,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
PENNINGT,1884,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
PETERSL,1891,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
PLEASAMN,1955,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
PORTAGE,1966,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RADTKE,2011,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
REICHOW,2051,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
REIDEL,2053,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RHOLL,2062,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RICEMNA,2066,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RICEMNB,3568,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
ROSSBURG,2290,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RUBYLAKE,2309,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RUTZLAKE,2314,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
RYERSE,2318,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SEDIVY,2354,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SEIDEL01,2355,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SEIDEL02,3620,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SHAGAWA,2375,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SILVERMN,2383,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SISEEBA,2394,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SOLUM,2581,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SOSTANCH,2584,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
SPECTACL,2585,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
